year,total_ghg
1850,4219.061
1851,4409.311
1852,4465.078
1853,4532.813
1854,4594.583
1855,4572.071
1856,4690.924
1857,4683.661
1858,4718.895
1859,4810.028
1860,4593.482
1861,4605.667
1862,4592.632
1863,4594.464
1864,4547.105
1865,4535.311
1866,4597.011
1867,4599.316
1868,4588.681
1869,4675.858
1870,4945.148
1871,5014.069
1872,5297.401
1873,5287.834
1874,5458.16
1875,5621.64
1876,5673.683
1877,5607.008
1878,5727.372
1879,5793.445
1880,6027.994
1881,6074.859
1882,6324.752
1883,6328.19
1884,6507.302
1885,6527.37
1886,6471.709
1887,6688.979
1888,6707.763
1889,6833.89
1890,7247.878
1891,7542.618
1892,7510.894
1893,7691.345
1894,7778.906
1895,7894.431
1896,7899.119
1897,8156.441
1898,8223.39
1899,8505.797
1900,8691.973
1901,8804.86
1902,8971.303
1903,9167.074
1904,9294.473
1905,9621.013
1906,9775.443
1907,10097.672
1908,10077.375
1909,10333.53
1910,10307.978
1911,10461.305
1912,10507.465
1913,10655.274
1914,10391.972
1915,10335.395
1916,10589.467
1917,10808.521
1918,10762.877
1919,10205.527
1920,10903.477
1921,10669.232
1922,10836.915
1923,11464.264
1924,11524.159
1925,11588.408
1926,11550.636
1927,12000.633
1928,11979.465
1929,12288.143
1930,12089.384
1931,11823.244
1932,11523.51
1933,11804.023
1934,12206.737
1935,12362.917
1936,12856.831
1937,13279.805
1938,13073.998
1939,13315.614
1940,13902.012
1941,14365.789
1942,14454.576
1943,14616.533
1944,14792.171
1945,13952.065
1946,14398.191
1947,15127.644
1948,15441.084
1949,15218.637
1950,16669.635
1951,17591.742
1952,17698.887
1953,18106.271
1954,18767.93
1955,19766.9
1956,20498.287
1957,21006.021
1958,21251.504
1959,22477.309
1960,22127.307
1961,22371.979
1962,22341.621
1963,22862.531
1964,23258.209
1965,23714.189
1966,24118.213
1967,24786.098
1968,25522.775
1969,27101.105
1970,28266.83
1971,28280.381
1972,29437.508
1973,30340.881
1974,30245.189
1975,30411.125
1976,31535.469
1977,32603.043
1978,33151.207
1979,33198.746
1980,33347.82
1981,32570.309
1982,32320.344
1983,32752.469
1984,34383.637
1985,34802.164
1986,35424.961
1987,35869.164
1988,36640.598
1989,36901.773
1990,37335.879
1991,37748.945
1992,37381.09
1993,37327.961
1994,38563.02
1995,38797.141
1996,40186.062
1997,41658.656
1998,40217.953
1999,40655.059
2000,40732.266
2001,40393.684
2002,41334.141
2003,43886.328
2004,44371.148
2005,44987.16
2006,46601.812
2007,46866.113
2008,47752.992
2009,47577.605
2010,49800.949
2011,51089.148
2012,52088.527
2013,51811.949
2014,52359.199
2015,52443.984
2016,51361.516
2017,51949.547
2018,52420.27
2019,52796.523
2020,50792.543
2021,52938.793
2022,53327.215
2023,53816.852
